Year, Dataset Name, Fragment, Number of events, Generator, Gridpack
2016 HIPM, DY_ZprimeToZH_ZtautauHbb_M4500_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M4500-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M4500_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz

2016, DY_ZprimeToZH_ZtautauHbb_M600_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M600-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M600_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2016, DY_ZprimeToZH_ZtautauHbb_M800_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M800-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M800_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2016, DY_ZprimeToZH_ZtautauHbb_M1000_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M1000-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M1000_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2016, DY_ZprimeToZH_ZtautauHbb_M1200_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M1200-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M1200_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2016, DY_ZprimeToZH_ZtautauHbb_M1400_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M1400-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M1400_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2016, DY_ZprimeToZH_ZtautauHbb_M1600_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M1600-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M1600_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2016, DY_ZprimeToZH_ZtautauHbb_M1800_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M1800-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M1800_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2016, DY_ZprimeToZH_ZtautauHbb_M2000_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M2000-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M2000_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2016, DY_ZprimeToZH_ZtautauHbb_M2500_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M2500-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M2500_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2016, DY_ZprimeToZH_ZtautauHbb_M3000_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M3000-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M3000_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2016, DY_ZprimeToZH_ZtautauHbb_M3500_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M3500-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M3500_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2016, DY_ZprimeToZH_ZtautauHbb_M4000_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M4000-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M4000_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2016, DY_ZprimeToZH_ZtautauHbb_M4500_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M4500-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M4500_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz

2017, DY_ZprimeToZH_ZtautauHbb_M600_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M600-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M600_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2017, DY_ZprimeToZH_ZtautauHbb_M800_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M800-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M800_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2017, DY_ZprimeToZH_ZtautauHbb_M1000_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M1000-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M1000_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2017, DY_ZprimeToZH_ZtautauHbb_M1200_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M1200-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M1200_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2017, DY_ZprimeToZH_ZtautauHbb_M1400_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M1400-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M1400_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2017, DY_ZprimeToZH_ZtautauHbb_M1600_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M1600-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M1600_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2017, DY_ZprimeToZH_ZtautauHbb_M1800_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M1800-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M1800_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2017, DY_ZprimeToZH_ZtautauHbb_M2000_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M2000-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M2000_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2017, DY_ZprimeToZH_ZtautauHbb_M2500_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M2500-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M2500_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2017, DY_ZprimeToZH_ZtautauHbb_M3000_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M3000-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M3000_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2017, DY_ZprimeToZH_ZtautauHbb_M3500_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M3500-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M3500_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2017, DY_ZprimeToZH_ZtautauHbb_M4000_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M4000-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M4000_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2017, DY_ZprimeToZH_ZtautauHbb_M4500_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M4500-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M4500_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz

2018, DY_ZprimeToZH_ZtautauHbb_M600_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M600-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M600_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2018, DY_ZprimeToZH_ZtautauHbb_M800_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M800-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M800_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2018, DY_ZprimeToZH_ZtautauHbb_M1000_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M1000-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M1000_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2018, DY_ZprimeToZH_ZtautauHbb_M1200_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M1200-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M1200_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2018, DY_ZprimeToZH_ZtautauHbb_M1400_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M1400-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M1400_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2018, DY_ZprimeToZH_ZtautauHbb_M1600_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M1600-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M1600_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2018, DY_ZprimeToZH_ZtautauHbb_M1800_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M1800-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M1800_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2018, DY_ZprimeToZH_ZtautauHbb_M2000_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M2000-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M2000_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2018, DY_ZprimeToZH_ZtautauHbb_M2500_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M2500-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M2500_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2018, DY_ZprimeToZH_ZtautauHbb_M3000_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M3000-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M3000_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2018, DY_ZprimeToZH_ZtautauHbb_M3500_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M3500-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M3500_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2018, DY_ZprimeToZH_ZtautauHbb_M4000_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M4000-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M4000_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
2018, DY_ZprimeToZH_ZtautauHbb_M4500_TuneCP5_13TeV-madgraph_pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Fragments/Zprime_Zh_Ztautauhbb_M4500-fragment.py, 200000, MG5_aMC_v2_9_13 + Pythia8, https://github.com/elenavernazza/MCGeneration_XZZbbtautau/blob/main/GridpacksZH/Zprime_Zh_Ztautauhbb_narrow_M4500_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz
